id_names,Actor,Facebook_likes
1070,Agnes Bruckner,401
1071,Agnes Bruckner,400
1072,Agnes Moorehead,960
1073,Agnia Ditkovskite,48
1074,Ah-sung Ko,74
1075,Ahmad Massad,58
1076,Ahmed Best,313
1077,Ahmed Hassan,10
1078,Ahmet Ertegun,5
1079,Ahna O'Reilly,282
1080,Ahney Her,198
1081,Aida Elkashef,5
1082,Aida Folch,9
1083,Aida Turturro,97
1084,Aidan McArdle,266
1085,Aidan Quinn,767
1086,Aidan Turner,5000
1087,Aimee Garcia,618
1088,Aimee Teegarden,741
1089,Aisha Hinds,343
1090,Aisha Tyler,856
1091,Aisha Tyler,857
1092,Aitana Sánchez-Gijón,130
1093,Ajay Naidu,120
1094,Aki Aleong,284
1095,Akie Kotabe,614
1096,Akima,282
1097,Akira Terao,4
1098,Akon,262
1099,Aksel Hennie,286
1100,Akshaye Khanna,75
1101,Al Cliver,22
1102,Al Freeman Jr.,318
1103,Al Gore,68
1104,Al Leong,730
1105,Al Pacino,14000
1106,Al Roker,56
1107,Al Sapienza,238
1108,Alain Delon,936
1109,Alan Autry,360
1110,Alan Bates,122
1111,Alan Brent,498
1112,Alan D. Purwin,2000
1113,Alan Dale,441
1114,Alan David,7
1115,Alan Ford,422
1116,Alan Hale,114
1117,Alan Hale Jr.,426
1118,Alan Oppenheimer,271
1119,Alan Pietruszewski,93
1120,Alan Rickman,25000
1121,Alan Ruck,946
1122,Alan Taylor,12
1123,Alan Van Sprang,147
1124,Alan Williams,29
1125,Alan Young,639
1126,Alana Kaniewski,19
1127,Alanna Ubach,584
1128,Alastair Duncan,38
1129,Alba Rohrwacher,72
1130,Albert Brooks,745
1131,Albert Delpy,8
1132,Albert Dupontel,46
1133,Albert Finney,883
1134,Albert Maysles,184
1135,Albert Salmi,94
1136,Alden Ehrenreich,1000
1137,Aldis Hodge,559
1138,Aldo Sambrell,93
1139,Alejandro Furth,2
1140,Aleksa Palladino,255
1141,Aleksandr Bashirov,7
1142,Aleksey Chadov,28
1143,Aleksey Serebryakov,30
1144,Alessandra Mastronardi,159
1145,Alessandro Nivola,527
1146,Alessandro Preziosi,26
1147,Alex Borstein,566
1148,Alex Désert,135
1149,Alex Emanuel,375
1150,Alex Gibney,141
1151,Alex Huszar,61
1152,Alex Jennings,39
1153,Alex Karpovsky,272
1154,Alex Kendrick,589
1155,Alex Lawther,47
1156,Alex Macqueen,106
1157,Alex McArthur,137
1158,Alex Meraz,606
1159,Alex Pettyfer,15000
1160,Alex Rocco,968
1161,Alex Russell,465
1162,Alex Sanborn,271
1163,Alex Veadov,93
1164,Alex Vincent,189
1165,Alex Winter,636
1166,Alexa Davalos,850
1167,Alexa Havins,209
1168,Alexa PenaVega,2000
1169,Alexander Gould,1000
1170,Alexander Skarsgård,10000
1171,Alexander Vlahos,334
1172,Alexander Wraith,119
1173,Alexandra Breckenridge,1000
1174,Alexandra Callas,247
1175,Alexandra Holden,326
1176,Alexandra Maria Lara,471
1177,Alexandra Rapaport,69
1178,Alexandra Silber,23
1179,Alexandre Rodrigues,40
1180,Alexandru Potocean,27
1181,Alexia Fast,553
1182,Alexia Rasmussen,171
1183,Alexis Arquette,285
1184,Alexis Biesiada,11
1185,Alexis Dziena,715
1186,Alexis Kendra,34
1187,Alfie Allen,1000
1188,Alfre Woodard,1000
1189,Alfred Enoch,1000
1190,Ali Daniels,15
1191,Ali Hillis,597
1192,Alia Shawkat,728
1193,Alia Shawkat,727
1194,Alice Braga,1000
1195,Alice Cooper,674
1196,Alice Englert,525
1197,Alice Evans,227
1198,Alice Greczyn,630
1199,Alice Greczyn,631
1200,Alice Krige,368
1201,Alice Olivia Clarke,117
1202,Alice Playten,73
1203,Alice Pol,8
1204,Alicia Goranson,173
1205,Alicia Keys,551
1206,Alicia Sixtos,138
1207,Alicia Witt,976
1208,Alicia Witt,975
1209,Alicia Ziegler,106
1210,Alicja Bachleda,289
1211,Aliou Touré,0
1212,Alisha Boe,113
1213,Alison Brie,2000
1214,Alison Chand,21
1215,Alison Doody,439
1216,Alison Doody,440
1217,Alison Lohman,1000
1218,Alissa Dean,807
1219,Alix Freihage,19
1220,Allegra Carpenter,29
1221,Allen Covert,328
1222,Allen Leech,305
1223,Allen Payne,364
1224,Allison Dean,159
1225,Allison Miller,479
1226,Allison Tolman,562
1227,Ally Sheedy,793
1228,Ally Walker,349
1229,Alma Martinez,56
1230,Alona Tal,1000
1231,Alonna Shaw,67
1232,Alun Armstrong,192
1233,Alycia Debnam-Carey,298
1234,Alyson Hannigan,3000
1235,Alyson Stoner,2000
1236,Amanda Detmer,240
1237,Amanda Kearsan,0
1238,Amanda MacDonald,15
1239,Amanda Mealing,37
1240,Amanda Plummer,471
1241,Amanda Redman,100
1242,Amanda Schull,757
1243,Amanda Tilson,58
1244,Amanda Troop,196
1245,Amanda Wyss,574
1246,Amber Armstrong,21
1247,Amber Benson,326
1248,Amber Marie Bollinger,46
1249,Amber Marshall,265
1250,Amber Rose Revah,134
1251,Amber Rose Revah,135
1252,Amber Stevens West,584
1253,Amber Valletta,626
1254,Amber Valletta,627
1255,Amelia Giancarlo,0
1256,Amelia Warner,170
1257,America Ferrera,953
1258,America Olivo,470
1259,Ami Ayalon,0
1260,Amiah Miller,509
1261,Amidou,35
1262,Amir Farrokh Hashemian,35
1263,Amir Talai,308
1264,Aml Ameen,149
1265,Amos Oz,3
1266,Amr Waked,903
1267,Amrish Puri,429
1268,Amy Badberg,0
1269,Amy Brenneman,366
1270,Amy Bruni,155
1271,Amy Carson,4
1272,Amy Hargreaves,92
1273,Amy Hill,242
1274,Amy Irving,194
1275,Amy Locane,200
1276,Amy Lucas,432
1277,Amy Madigan,221
1278,Amy Poehler,1000
1279,Amy Ryan,423
1280,Amy Schumer,492
1281,Amy Sedaris,396
1282,Amy Sedaris,397
1283,Amy Steel,59
1284,Amy Stewart,28
1285,Amy Warren,13
1286,Amy Yasbeck,424
1287,Ana Claudia Talancón,163
1288,Ana Gasteyer,215
1289,Ana Imnadze,18
1290,Ana Maria Guran,0
1291,Ana Vatamanu,0
1292,Ana de la Reguera,679
1293,Ana de la Reguera,678
1294,Anamaria Marinca,131
1295,Anatoliy Solonitsyn,29
1296,Anders Holm,365
1297,Andre Braugher,702
1298,Andrea Corr,57
1299,Andrea Di Stefano,30
1300,Andrea Frankle,253
1301,Andrea Martin,179
1302,Andrea Ros,6
1303,Andrea Savage,105
1304,Andrea Vergara,9
1305,Andrej Nahtigal,0
1306,Andrew Airlie,205
1307,Andrew Bryniarski,390
1308,Andrew Bujalski,26
1309,Andrew Daly,171
1310,Andrew Dice Clay,218
1311,Andrew Fiscella,137000
1312,Andrew Garfield,10000
1313,Andrew Keegan,835
1314,Andrew Keir,13
1315,Andrew Lawrence,563
1316,Andrew Rannells,416
1317,Andrew Robinson,266
1318,Andrew Simpson,99
1319,Andrew Wilson,387
1320,André Dussollier,52
1321,André Ramiro,15
1322,André Wilms,9
1323,André the Giant,594
1324,Andrés Montiel,61
1325,Andy Cohn,0
1326,Andy Davoli,146
1327,Andy Dick,302
1328,Andy Lau,483
1329,Andy On,60
1330,Andy Richter,179
1331,Ane Dahl Torp,13
1332,Anella Vastola,0
1333,Angel Coulby,566
1334,Angel David,13
1335,Angela Bettis,294
1336,Angela Cartwright,209
1337,Angela Featherstone,102
1338,Angela Jones,69
1339,Angela Nordeng,371
1340,Angela Sarafyan,310
1341,Angelica Lee,39
1342,Angeliki Papoulia,47
1343,Angelina Armani,677
1344,Angelina Jolie Pitt,11000
1345,Angell Conwell,522
1346,Angelo Anthony Pizza,619
1347,Angelo Rossitto,60
1348,Angelo Tsarouchas,246
1349,Angie Dickinson,754
1350,Angus Barnett,22
1351,Angus Macfadyen,448
1352,Angus Sampson,82
1353,Angus Scrimm,674
1354,Angus T. Jones,1000
1355,Angélica Sancio,0
1356,Anika Noni Rose,525
1357,Anil Kapoor,668
1358,Anil Kumar,51
1359,Anita Briem,311
1360,Anita Mui,147
1361,Anita Page,77
1362,Anjelica Huston,1000
1363,Ann Dowd,185
1364,Ann Gillis,8
1365,Ann Miller,302
1366,Ann Morgan Guilbert,547
1367,Ann Talman,6
1368,Ann-Margret,931
1369,Anna Friel,736
1370,Anna Friel,735
1371,Anna Gunn,1000
1372,Anna Harr,290
1373,Anna Karina,257
1374,Anna Katarina,26
1375,Anna Katharina Schwabroh,7
1376,Anna Kendrick,10000
1377,Anna Madeley,49
1378,Anna Nakagawa,13
1379,Anna Silk,857
1380,Anna Vareschi,0
1381,Anna-Louise Plowman,131
1382,Annabella Sciorra,448
1383,Annabelle Wallis,421
1384,Annabeth Gish,489
1385,Anne Archer,249
1386,Anne Bancroft,754
1387,Anne Hathaway,11000
1388,Anne Heche,646
1389,Anne Heche,681
1390,Anne Heche,695
1391,Anne Heche,644
1392,Anne Heche,689
1393,Anne Heche,643
1394,Anne Meara,837
1395,Anne Parillaud,130
1396,Anne-Marie Duff,231
1397,Anneliese van der Pol,354
1398,Annelyse Ahmad,3
1399,Annet Mahendru,411
1400,Annette Badland,497
1401,Annie Golden,113
1402,Annie Parisse,341
1403,Anslem Richardson,59
1404,Anthony 'Citric' Campos,586
1405,Anthony Burrell,8
1406,Anthony Chau-Sang Wong,96
1407,Anthony Daniels,441
1408,Anthony Edwards,495
1409,Anthony Heald,173
1410,Anthony Hopkins,12000
1411,Anthony Johnson,78
1412,Anthony L. Fernandez,640
1413,Anthony LaPaglia,576
1414,Anthony LaPaglia,577
1415,Anthony Powell,9
1416,Anthony Reynolds,575
1417,Anthony Simcoe,82
1418,Anthony Zerbe,275
1419,Antoni Corone,97
1420,Antonia Thomas,381
1421,Antonio Arrué,2
1422,Antonio Sabato Jr.,459
1423,Antonio de la Torre,82
1424,Antony Starr,506
1425,Anupam Kher,397
1426,Anushka Shetty,133
1427,Anwar Congo,3
1428,April Winchell,183
1429,Ara Celi,158
1430,Aramis Knight,430
1431,Arben Bajraktaraj,121
1432,Arcelia Ramírez,69
1433,Archie Kao,326
1434,Archie Panjabi,884
1435,Archie Panjabi,883
1436,Aretha Franklin,809
1437,Ari Folman,56
1438,Ari Gold,27
1439,Ari Graynor,904
1440,Aria Noelle Curzon,263
1441,Ariana Neal,88
1442,Ariana Richards,610
1443,Ariane Labed,63
1444,Ariane Schluter,3
1445,Ariel Gade,87
1446,Ariel Hsing,0
1447,Aries Spears,83
1448,Arik Ascherman,0
1449,Arjun Rampal,564
1450,Arliss Howard,152
1451,Arly Jover,258
1452,Armando Riesco,625
1453,Armin Mueller-Stahl,294
1454,Armin Rohde,34
1455,Armin Shimerman,428
1456,Art Carney,154
1457,Art Hindle,110
1458,Art Malik,162
1459,Arthur Agee,6
1460,Arthur O'Connell,75
1461,Arturo Castro,22
1462,Artyom Bogucharskiy,2
1463,Aryana Engineer,602
1464,Ash Cook,133
1465,Ashanti,341
1466,Ashleigh Gryzko,103
1467,Ashley Ashida Dixon,9
1468,Ashley Bell,400
1469,Ashley Gerasimovich,77
1470,Ashley Hinshaw,371
1471,Ashley Laurence,209
1472,Ashley Martin,302
1473,Ashley Palmer,109
1474,Ashley Rickards,986
1475,Ashley Scott,795
1476,Ashley Scott,794
1477,Ashley Tramonte,630
1478,Ashley Walters,173
1479,Ashley Williams,969
1480,Ashraf Barhom,451
1481,Asin,634
1482,Athina Rachel Tsangari,48
1483,Ato Essandoh,265
1484,Atom Egoyan,460
1485,Atsuko Maeda,12
1486,Atticus Shaffer,787
1487,Aubrey Poo,2
1488,Audrey Fleurot,204
1489,August Diehl,282
1490,Augustus Prew,405
1491,Aunjanue Ellis,400
1492,Austin Lyon,80
1493,Austin Nichols,663
1494,Austin O'Brien,211
1495,Austin Pendleton,597
1496,Austin Pendleton,592
1497,Ava Acres,213
1498,Ava Gardner,715
1499,Avery Schreiber,110
1500,Ayelet Zurer,745
1501,Ayelet Zurer,744
1502,Ayesha Omar,5
1503,Ayla Kell,440
1504,Ayush Mahesh Khedekar,40
1505,Aziz Muradillayev,0
1506,Azura Skye,193
1507,B.J. Novak,825
1508,Bahare Seddiqi,36
1509,Bai Ling,582
1510,Bai Ling,581
1511,Bailee Madison,3000
1512,Balinese Tari Legong Dancers,0
1513,Balthazar Getty,418
1514,Bam Margera,608
1515,Barack Obama,871
1516,Barbara Bach,238
1517,Barbara Billingsley,318
1518,Barbara Carrera,133
1519,Barbara Hershey,618
1520,Barbara Kowalcyk,2
1521,Barbie Castro,185
1522,Bari Hyman,10
1523,Barnard Hughes,89
1524,Barney Clark,85
1525,Barney Frank,18
1526,Barret Oliver,312
1527,Barry Bostwick,456
1528,Barry Corbin,883
1529,Barry Dennen,29
1530,Barry Fitzgerald,137
1531,Barry Lynch,5
1532,Barry Shabaka Henley,232
1533,Barry Watson,526
1534,Bart Shatto,124
1535,Bart the Bear,904
1536,Bashar Rahal,603
1537,Basher Savage,23
1538,Basil Rathbone,659
1539,Beatrice Ntuba,0
1540,Beatrice Straight,75
1541,Beau Bridges,552
1542,Beau Garrett,689
1543,Beau Knapp,236
1544,Beau Mirchoff,2000
1545,Bebe Neuwirth,376
1546,Behrouz Vossoughi,324
1547,Belinda Stewart-Wilson,223
1548,Bella Heathcote,860
1549,Bella Thorne,35000
1550,Belén Rueda,273
1551,Ben Browder,878
1552,Ben Chaplin,258
1553,Ben Crompton,257
1554,Ben Cross,303
1555,Ben Daniels,585
1556,Ben Davies,690
1557,Ben Diskin,20
1558,Ben Falcone,265
1559,Ben Feldman,1000
1560,Ben Gazzara,623
1561,Ben Johnson,230
1562,Ben Mendelsohn,748
1563,Ben Miles,119
1564,Ben Miller,252
1565,Ben Platt,746
1566,Ben Schwartz,463
1567,Ben Stein,227
1568,Ben Vereen,388
1569,Ben Youcef,434
1570,Benedict Cumberbatch,19000
1571,Benedict Wong,372
1572,Benjamin A. Onyango,634
1573,Benjamin Fletcher,0
1574,Benjamin J. Cain Jr.,73
1575,Benjamin Walker,911
1576,Benno Fürmann,127
1577,Benoît Magimel,173
1578,Benoît Poelvoorde,86
1579,Bergüzar Korel,197
1580,Bern Cohen,805
1581,Bernadette Peters,753
1582,Bernard Cribbins,195
1583,Bernard Fox,246
1584,Bernard Hill,416
1585,Bernardo Saracino,221
1586,Bernie Casey,180
1587,Bernie Mac,1000
1588,Bernie Sanders,173
1589,Bertrand Cantat,0
1590,Bess Armstrong,83
1591,Bessie Love,28
1592,Beth Broderick,209
1593,Beth Grant,628
1594,Beth Riesgraf,718
1595,Bethany Blakey,45
1596,Bethany Joy Lenz,855
1597,Betsy Baker,66
1598,Betsy Palmer,309
1599,Betsy Russell,298
1600,Betty Hutton,83
1601,Beverly D'Angelo,816
1602,Beverly Randolph,358
1603,Bex Taylor-Klaus,460
1604,Bhama,5
1605,Bhavkhandan Singh Rakhra,258
1606,Bhole Baba,0
1607,Bhoomika Chawla,45
1608,Bianca Brigitte VanDamme,663
1609,Bianca Collins,47
1610,Bianca Kajlich,732
1611,Bianca Kajlich,731
1612,Big Budah,34
1613,Bill Allen,36
1614,Bill Bailey,175
1615,Bill Baird,0
1616,Bill Clinton,184
1617,Bill Cobbs,970
1618,Bill Duke,1000
1619,Bill Erwin,191
1620,Bill Fagerbakke,542
1621,Bill Farmer,93
1622,Bill Hickman,78
1623,Bill Hunter,226
1624,Bill Irwin,471
1625,Bill Johnson,237
1626,Bill Lake,18
1627,Bill Maher,334
1628,Bill Martone,2
1629,Bill Melendez,36
1630,Bill Murray,13000
1631,Bill Nunn,182
1632,Bill Paterson,142
1633,Billie Burke,357
1634,Billie Whitelaw,108
1635,Billy Aaron Brown,177
1636,Billy Barty,281
1637,Billy Blair,541
1638,Billy Boyd,857
1639,Billy Brown,536
1640,Billy Burke,2000
1641,Billy Campbell,789
1642,Billy Crudup,745
1643,Billy Drago,371
1644,Billy Gardell,245
1645,Billy Gilbert,47
1646,Billy West,861
1647,Bin Won,517
1648,Bingbing Fan,556
1649,Bingbing Li,974
1650,Bipasha Basu,283
1651,Bipasha Basu,282
1652,Birgitte Hjort Sørensen,1000
1653,Birol Ünel,269
1654,Björk,322
1655,Björn Hlynur Haraldsson,51
1656,Bjørn Sundquist,35
1657,Black Thomas,104
1658,Blaine Anderson,31
1659,Blair Brown,310
1660,Blair Underwood,685
1661,Blake Lindsley,31
1662,Blake Ritson,432
1663,Blanchard Ryan,48
1664,Blythe Auffarth,76
1665,Blythe Danner,713
1666,Bo Huang,4
1667,Bob Balaban,559
1668,Bob Clendenin,347
1669,Bob Costas,69
1670,Bob Dole,2
1671,Bob Dylan,476
1672,Bob Eubanks,42
1673,Bob Gunton,461
1674,Bob Hastings,253
1675,Bob Hoskins,5000
1676,Bob Marley,184
1677,Bob Neill,2
1678,Bob Newhart,643
1679,Bob Peck,191
1680,Bob Proctor,8
1681,Bob Ross,197
1682,Bob Saget,799
1683,Bobb'e J. Thompson,526
1684,Bobbie Phillips,16000
1685,Bobby Batson,849
1686,Bobby Block,21
1687,Bobby Brown,77
1688,Bobby Campo,292
1689,Bobby Coleman,360
1690,Bobby Deol,89
1691,Bobby Kendall,0
1692,Bobby Lee,176
1693,Bobby Moynihan,311
1694,Bojana Novakovic,2000
1695,Bokeem Woodbine,904
1696,Bolaji Badejo,513
1697,Bolo Yeung,633
1698,Boman Irani,154
1699,Bonnie Henna,15
1700,Bonnie Hunt,597
1701,Bonnie Lee Bouman,11
1702,Bonnie Somerville,246
1703,Bono,468
1704,Bonz Malone,6
1705,Boris Kodjoe,1000
1706,Boyd Banks,57
1707,Boyd Holbrook,439
1708,Boys II Men,41
1709,Brad Garrett,799
1710,Brad James,559
1711,Brad Lee Wind,17
1712,Brad Leland,67
1713,Brad Pitt,11000
1714,Brad Renfro,551
1715,Brad Schmidt,708
1716,Brad William Henke,363
1717,Bradley Cooper,14000
1718,Bradley Pierce,409
1719,Bradley Whitford,821
1720,Brady Corbet,287
1721,Braeden Lemasters,212
1722,Brahim Achabbakhe,96
1723,Brahmanandam,61
1724,Brandon Landers,8
1725,Brandon Middleton,50
1726,Brandon Molale,301
1727,Brandon Mychal Smith,218
1728,Brandon Smith,106
1729,Brandon T. Jackson,918
1730,Brandy Norwood,509
1731,Branko Djuric,116
1732,Breckin Meyer,0
1733,Bree Turner,489
1734,Bree Williamson,165
1735,Brenda Bakke,520
1736,Brenda Blethyn,286
1737,Brenda Fricker,214
1738,Brenda Song,1000
1739,Brenda Strong,266
1740,Brenda Vaccaro,183
1741,Brendan Coyle,418
1742,Brendan Doogie Milewski,2
1743,Brendan Fehr,847
1744,Brendan Fraser,3000
1745,Brendan Mackey,5
1746,Brendan Sexton III,148
1747,Brendon Eggertsen,119
1748,Brendon Small,59
1749,Brent Anderson,400
1750,Brent David Fraser,218
1751,Brent Neale,3
1752,Brent Sexton,130
1753,Brett Cullen,350
1754,Brett Wagner,648
1755,Brian Anthony Wilson,674
1756,Brian Austin Green,676
1757,Brian Blessed,591
1758,Brian Bosworth,174
1759,Brian Dennehy,954
1760,Brian Dietzen,251
1761,Brian Dorton,171
1762,Brian Doyle-Murray,484
1763,Brian Eno,30
1764,Brian Geraghty,383
1765,Brian Herzlinger,23
1766,Brian Howe,76
1767,Brian Johnson,128
1768,Brian Keith,316
1769,Brian Lee Franklin,38
1770,Brian McNamara,125
1771,Brian O'Halloran,657
1772,Brian Steele,160
1773,Brian Stepanek,117
1774,Brian Thompson,663
1775,Brian Van Holt,324
1776,Brian Whitaker,8
1777,Brian d'Arcy James,77
1778,Brianna Brown,331
1779,Brianne Brozey,15
1780,Bridget Fonda,889
1781,Bridget Fonda,888
1782,Bridgette Wilson-Sampras,545
1783,Bridgit Mendler,1000
1784,Brighton Sharbino,3000
1785,Brigitte Bardot,984
1786,Brigitte Helm,136
1787,Brigitte Nielsen,312
1788,Brion James,403
1789,Brit Morgan,206
1790,Britney Spears,1000
1791,Britt Ekland,199
1792,Brittany Curran,512
1793,Brittany Daniel,861
1794,Brittany Daniel,862
1795,Brittney Powell,117
1796,Brock Baker,297
1797,Brock Peters,226
1798,Bronagh Gallagher,114
1799,Bronagh Gallagher,115
1800,Brooke Bundy,54
1801,Brooke D'Orsay,271
1802,Brooke Newton,779
1803,Brooke Shields,1000
1804,Brooke Smith,405
1805,Brooklynn Proulx,142
1806,Bruce Alexander,7
1807,Bruce Altman,67
1808,Bruce Boxleitner,640
1809,Bruce Campbell,298
1810,Bruce Davison,505
1811,Bruce Dern,844
1812,Bruce Dinsmore,51
1813,Bruce Gooch,32
1814,Bruce Goodchild,15
1815,Bruce Green,538
1816,Bruce Greenwood,990
1817,Bruce Greenwood,989
1818,Bruce Greenwood,984
1819,Bruce Greenwood,982
1820,Bruce Greenwood,981
1821,Bruce Greenwood,991
1822,Bruce Hopkins,46
1823,Bruce Kerr,6
1824,Bruce McGill,655
1825,Bruce Newbold,40
1826,Bruce Payne,179
1827,Bruce Spence,531
1828,Bruce Thomas,183
1829,Bruce Vilanch,244
1830,Bruce Willis,13000
1831,Bruno Campos,223
1832,Bruno Ganz,653
1833,Bruno Kirby,227
1834,Bryan Brown,284
1835,Bryan Callen,460
1836,Bryan Dick,104
1837,Bryce Dallas Howard,3000
1838,Brían F. O'Byrne,450
1839,Bubba Smith,760
1840,Bud Cort,394
1841,Bunta Sugawara,17
1842,Burgess Meredith,1000
1843,Burghart Klaußner,43
1844,Burl Ives,253
1845,Burt Kwouk,462
1846,Burt Ward,356
1847,Burt Young,683
1848,Buster Keaton,907
1849,Busy Philipps,1000
1850,Buzz Aldrin,142
1851,Byron Mann,258
1852,Bálint Péntek,0
1853,Bárbara Goenaga,36
1854,Bárbara Mori,594
1855,Béatrice Bonifassi,0
1856,Béatrice Dalle,133
1857,Bérénice Bejo,996
1858,CCH Pounder,1000
1859,CJ Adams,450
1860,Cabrina Collesides,319
1861,Caitlin FitzGerald,205
1862,Caitlin Stasey,623
1863,Caitlyn Jenner,161
1864,Caity Lotz,941
1865,Caleb Landry Jones,463
1866,Callie Thorne,472
1867,Callum Blue,738
1868,Callum Rennie,716
1869,Calvin Lockhart,148
1870,Cam Clarke,173
1871,Cameron Boyce,915
1872,Cameron Bright,829
1873,Cameron Mills,694
1874,Cameron Monaghan,1000
1875,Cameron Rhodes,28
1876,Campbell Scott,393
1877,Camren Bicondova,756
1878,Camryn Manheim,329
1879,Candace Kroslak,102
1880,Candice Bergen,545
1881,Cara Delevingne,558
1882,Cara Delevingne,554
1883,Cara Delevingne,559
1884,Cara Delevingne,548
1885,Cara Horgan,18
1886,Cara Seymour,71
1887,Carel Struycken,436
1888,Cariba Heine,351
1889,Carl Gilliard,285
1890,Carl Weathers,794
1891,Carla Gallo,798
1892,Carlease Burke,210
1893,Carlo Cecchi,2
1894,Carlos Alazraqui,307
1895,Carlos Bardem,55
1896,Carlos Gallardo,121
1897,Carlos Lasarte,7
1898,Carlos Ponce,591
1899,Carly Schroeder,261
1900,Carmen Argenziano,338
1901,Carmen Ejogo,374
1902,Carmen Electra,869
1903,Carmen Maura,148
1904,Carmen Perez,97
1905,Carmine Giovinazzo,432
1906,Carol Ann Susi,3000
1907,Carol Block,0
1908,Carol Channing,387
1909,Carol Kane,636
1910,Carol Sutton,251
1911,Carole Bouquet,235
1912,Caroline Dhavernas,544
1913,Caroline Goodall,212
1914,Caroline Munro,456
1915,Caroline Rhea,271
1916,Caroll Spinney,142
1917,Carolyn Hennesy,191
1918,Carrie Bradstreet,466
1919,Carrie Henn,626
1920,Carrie Preston,652
1921,Carroll Baker,208
1922,Carroll O'Connor,480
1923,Carter Jenkins,701
1924,Cary-Hiroyuki Tagawa,1000
1925,Cas Anvar,491
1926,Casey Affleck,0
1927,Casey Gooden,8
1928,Casey Kasem,844
1929,Casey Siemaszko,107
1930,Casper Christensen,13
1931,Casper Crump,103
1932,Casper Martinez,42
1933,Cassandra Peterson,922
1934,Cassandra Scerbo,689
1935,Cassidy Gifford,40
1936,Cassie Ventura,158
1937,Cat Ly,5
1938,Catalina Sandino Moreno,280
1939,Catherine Bell,636
1940,Catherine Deneuve,963
1941,Catherine Deneuve,964
1942,Catherine Dent,99
1943,Catherine Dyer,768
1944,Catherine Hicks,311
1945,Catherine Lambert,11
1946,Catherine Lough Haggquist,310
1947,Catherine McCormack,307
1948,Catherine McCormack,306
1949,Catherine O'Hara,925
1950,Catherine Parks,20
1951,Catherine Schell,80
1952,Catherine Tate,392
1953,Cathryn de Prume,354
1954,Cathy Moriarty,394
1955,Catriona MacColl,48
1956,Cecelia Antoinette,196
1957,Cecil Kellaway,40
1958,Cecilia Pillado,625
1959,Cedric the Entertainer,436
1960,Celeste Holm,297
1961,Celia Imrie,186
1962,Celia Weston,258
1963,Celina Beach,66
1964,Celina Jade,305
1965,Cem Yilmaz,523
1966,Cesar Romero,370
1967,Chad Allen,232
1968,Chad Bishop,277
1969,Chad L. Coleman,741
1970,Chad Lindberg,445
1971,Chad Lowe,372
1972,Chandler Canterbury,329
1973,Channing Tatum,17000
1974,Charice,491
1975,Charis Michelsen,5
1976,Charla Cochran,270
1977,Charles Aidman,23
1978,Charles Aznavour,125
1979,Charles Baker,500
1980,Charles Grodin,449
1981,Charles Halford,218
1982,Charles Irving Beale,104
1983,Charles Keating,137
1984,Charles King,4
1985,Charles Linton,6
1986,Charles Martin Smith,188
1987,Charles Martinet,283
1988,Charles Mesure,349
1989,Charles Napier,503
1990,Charles S. Dutton,534
1991,Charlie Bewley,487
1992,Charlie Cox,0
1993,Charlie Hunnam,16000
1994,Charlie Korsmo,678
1995,Charlie McDermott,496
1996,Charlie Murphy,203
1997,Charlie Rowe,882
1998,Charlie Saxton,224
1999,Charlie Tahan,268
2000,Charlie Talbert,767
2001,Charlie Yeung,68
2002,Charlize Theron,9000
2003,Charlotte Bøving,10
2004,Charlotte Le Bon,201
